time_ms,base,shoulder,elbow,palm,wrist,gripper,obj_x,obj_y,obj_area,cell,err_x,err_y,approach_mode,free_mode
1778260523144,2366,1758,2022,3062,3206,2995,,,,,,,0,1
1778260523207,2366,1758,2022,3062,3206,2995,,,,,,,0,1
1778260523266,2366,1758,2022,3062,3206,2995,,,,,,,0,1
1778260523326,2366,1758,2022,3062,3206,2995,,,,,,,0,1
1778260523380,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523446,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523504,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523567,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523630,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523687,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523748,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523817,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523891,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260523954,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524014,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524077,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524138,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524229,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524297,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524367,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524471,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524537,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524604,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524664,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524723,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524787,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524849,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524920,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260524980,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260525047,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260525114,2366,1758,2022,3062,3206,2995,,,,,,,0,1
1778260525212,2366,1758,2023,3062,3206,2995,,,,,,,0,1
1778260525271,2366,1758,2023,3062,3206,2995,,,,,,,0,1
1778260525328,2366,1759,2023,3062,3206,2995,,,,,,,0,1
1778260525387,2366,1759,2024,3062,3206,2995,,,,,,,0,1
1778260525449,2366,1759,2024,3062,3206,2995,,,,,,,0,1
1778260525514,2366,1759,2024,3062,3206,2995,,,,,,,0,1
1778260525579,2366,1759,2024,3062,3206,2995,,,,,,,0,1
1778260525643,2366,1758,2023,3062,3206,2995,,,,,,,0,1
1778260525715,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260525781,2366,1757,2022,3062,3206,2995,,,,,,,0,1
1778260525841,2366,1757,2020,3062,3206,2995,,,,,,,0,1
1778260525910,2366,1757,2006,3062,3206,2995,,,,,,,0,1
1778260525971,2366,1755,2001,3062,3206,2995,,,,,,,0,1
1778260526042,2366,1751,2001,3062,3206,2995,,,,,,,0,1
1778260526105,2366,1751,2002,3062,3206,2995,,,,,,,0,1
1778260526170,2366,1751,2002,3062,3206,2995,,,,,,,0,1
1778260526229,2366,1749,2002,3062,3206,2995,,,,,,,0,1
1778260526291,2366,1743,2001,3062,3206,2995,,,,,,,0,1
1778260526351,2366,1736,2001,3062,3206,2995,,,,,,,0,1
1778260526405,2366,1736,2001,3062,3206,2995,,,,,,,0,1
1778260526465,2366,1742,2001,3062,3206,2995,,,,,,,0,1
1778260526522,2366,1747,2003,3062,3206,2995,,,,,,,0,1
1778260526582,2366,1747,2011,3062,3206,2995,,,,,,,0,1
1778260526639,2366,1747,2009,3062,3206,2995,,,,,,,0,1
1778260526698,2366,1747,2009,3062,3206,2995,,,,,,,0,1
1778260526757,2366,1748,2009,3062,3206,2995,,,,,,,0,1
1778260526815,2366,1749,2010,3062,3206,2995,,,,,,,0,1
1778260526873,2366,1749,2010,3062,3206,2995,,,,,,,0,1
1778260526940,2366,1749,2011,3062,3206,2995,,,,,,,0,1
1778260527002,2366,1751,2012,3062,3206,2995,,,,,,,0,1
1778260527058,2366,1751,2012,3062,3206,2995,,,,,,,0,1
1778260527114,2366,1750,2013,3062,3206,2995,,,,,,,0,1
1778260527173,2366,1751,2014,3062,3206,2995,,,,,,,0,1
1778260527233,2366,1751,2014,3062,3206,2995,,,,,,,0,1
1778260527292,2366,1751,2014,3062,3206,2995,,,,,,,0,1
1778260527353,2366,1751,2015,3062,3206,2995,,,,,,,0,1
1778260527413,2366,1751,2015,3062,3206,2995,,,,,,,0,1
1778260527473,2366,1753,2015,3062,3206,2995,,,,,,,0,1
1778260527533,2366,1756,2015,3062,3206,2995,,,,,,,0,1
1778260527589,2366,1757,2016,3062,3206,2995,,,,,,,0,1
1778260527650,2366,1757,2018,3062,3206,2995,,,,,,,0,1
1778260527714,2366,1757,2020,3062,3206,2995,,,,,,,0,1
1778260527779,2367,1757,2020,3062,3206,2995,,,,,,,0,1
1778260527837,2367,1752,2017,3062,3206,2995,,,,,,,0,1
1778260527896,2368,1751,2016,3062,3206,2995,,,,,,,0,1
1778260527954,2369,1750,2014,3062,3206,2995,,,,,,,0,1
1778260528022,2368,1741,2009,3062,3206,2995,,,,,,,0,1
1778260528086,2367,1736,2000,3062,3206,2995,,,,,,,0,1
1778260528148,2367,1736,2000,3062,3206,2995,,,,,,,0,1
1778260528216,2367,1736,2000,3062,3206,2995,,,,,,,0,1
1778260528284,2366,1734,1997,3062,3206,2995,,,,,,,0,1
1778260528348,2366,1731,1993,3062,3206,2995,,,,,,,0,1
1778260528410,2366,1730,1992,3062,3206,2995,,,,,,,0,1
1778260528472,2366,1730,1992,3062,3206,2995,,,,,,,0,1
1778260528532,2366,1730,1992,3062,3206,2995,,,,,,,0,1
1778260528590,2366,1730,1992,3062,3206,2995,,,,,,,0,1
1778260528650,2366,1732,1994,3062,3206,2995,,,,,,,0,1
1778260528714,2366,1739,1995,3062,3206,2995,,,,,,,0,1
1778260528776,2366,1746,2002,3062,3206,2995,,,,,,,0,1
1778260528840,2366,1749,2007,3062,3206,2995,,,,,,,0,1
1778260528901,2366,1750,2008,3062,3206,2995,,,,,,,0,1
1778260528964,2366,1749,2008,3062,3206,2995,,,,,,,0,1
1778260529025,2366,1746,2002,3062,3206,2995,,,,,,,0,1
1778260529089,2366,1736,1995,3062,3206,2995,,,,,,,0,1
1778260529154,2366,1731,1994,3062,3206,2995,,,,,,,0,1
1778260529217,2366,1732,1993,3062,3206,2995,,,,,,,0,1
1778260529280,2366,1737,1996,3062,3206,2995,,,,,,,0,1
1778260529342,2366,1743,2004,3062,3206,2995,,,,,,,0,1
1778260529397,2366,1748,2007,3062,3206,2995,,,,,,,0,1
1778260529456,2366,1750,2009,3062,3206,2995,,,,,,,0,1
1778260529513,2366,1750,2009,3062,3206,2995,,,,,,,0,1
1778260529573,2366,1749,2009,3062,3206,2995,,,,,,,0,1
1778260529638,2367,1750,2011,3062,3206,2995,,,,,,,0,1
1778260529697,2366,1750,2011,3062,3206,2995,,,,,,,0,1
1778260529758,2366,1750,2011,3062,3206,2995,,,,,,,0,1
1778260529815,2366,1750,2011,3062,3206,2995,,,,,,,0,1
1778260529879,2366,1750,2011,3062,3206,2995,,,,,,,0,1
1778260529939,2366,1750,2011,3062,3206,2995,,,,,,,0,1
1778260529995,2368,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530053,2369,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530115,2369,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530183,2369,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530242,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530294,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530352,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530413,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530468,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530526,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530584,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530644,2370,1750,2011,3062,3206,2995,,,,,,,0,1
1778260530704,2371,1749,2010,3062,3206,2995,,,,,,,0,1
1778260530760,2371,1747,2008,3062,3206,2995,,,,,,,0,1
1778260530817,2371,1737,2008,3062,3206,2995,,,,,,,0,1
1778260530880,2372,1733,1995,3062,3206,2995,,,,,,,0,1
1778260530939,2372,1731,1994,3062,3206,2995,,,,,,,0,1
1778260530997,2372,1732,1995,3062,3206,2995,,,,,,,0,1
1778260531056,2372,1733,1998,3062,3206,2995,,,,,,,0,1
1778260531113,2369,1733,2007,3062,3206,2995,,,,,,,0,1
1778260531174,2369,1739,2007,3062,3206,2995,,,,,,,0,1
1778260531236,2369,1748,2009,3062,3206,2995,,,,,,,0,1
1778260531296,2368,1750,2010,3062,3206,2995,,,,,,,0,1
1778260531354,2367,1750,2011,3062,3206,2995,,,,,,,0,1
1778260531412,2367,1750,2011,3062,3206,2995,,,,,,,0,1
1778260531472,2368,1750,2011,3062,3206,2995,,,,,,,0,1
1778260531529,2369,1749,2011,3062,3206,2995,,,,,,,0,1
1778260531586,2370,1749,2011,3062,3206,2995,,,,,,,0,1
1778260531651,2369,1749,2011,3062,3206,2995,,,,,,,0,1
1778260531725,2369,1749,2011,3062,3206,2995,,,,,,,0,1
1778260531787,2368,1749,2011,3062,3206,2995,,,,,,,0,1
1778260531846,2367,1750,2011,3062,3206,2995,,,,,,,0,1
