time_ms,base,shoulder,elbow,palm,wrist,gripper,obj_x,obj_y,obj_area,cell,err_x,err_y,approach_mode,free_mode
1778260659235,2373,1781,2041,3028,3197,2995,,,,,,,0,1
1778260659320,2373,1781,2041,3028,3197,2995,,,,,,,0,1
1778260659407,2373,1781,2041,3028,3197,2995,,,,,,,0,1
1778260659497,2373,1781,2041,3028,3197,2995,,,,,,,0,1
1778260659580,2373,1781,2041,3028,3197,2995,,,,,,,0,1
1778260659667,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260659754,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260659849,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260659955,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260660039,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260660127,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260660213,2373,1780,2041,3028,3197,2995,,,,,,,0,1
1778260660302,2373,1779,2041,3028,3197,2995,,,,,,,0,1
1778260660391,2373,1779,2041,3028,3197,2995,,,,,,,0,1
1778260660454,2374,1776,2041,3028,3197,2995,,,,,,,0,1
1778260660541,2374,1772,2041,3028,3197,2995,,,,,,,0,1
1778260660604,2374,1770,2041,3028,3197,2995,,,,,,,0,1
1778260660670,2374,1767,2041,3028,3197,2995,,,,,,,0,1
1778260660733,2374,1766,2041,3028,3197,2995,,,,,,,0,1
1778260660793,2374,1765,2041,3028,3197,2995,,,,,,,0,1
1778260660852,2374,1765,2041,3028,3197,2995,,,,,,,0,1
1778260660912,2374,1765,2041,3028,3197,2995,,,,,,,0,1
1778260660975,2374,1765,2041,3028,3197,2995,,,,,,,0,1
1778260661029,2374,1767,2041,3028,3197,2995,,,,,,,0,1
1778260661089,2374,1768,2041,3028,3197,2995,,,,,,,0,1
1778260661142,2374,1770,2041,3028,3197,2995,,,,,,,0,1
1778260661225,2374,1775,2041,3028,3197,2995,,,,,,,0,1
1778260661310,2374,1776,2041,3028,3197,2995,,,,,,,0,1
1778260661392,2374,1776,2041,3028,3197,2995,,,,,,,0,1
1778260661482,2374,1777,2041,3028,3197,2995,,,,,,,0,1
1778260661574,2373,1777,2041,3028,3197,2995,,,,,,,0,1
1778260661638,2372,1777,2041,3028,3197,2995,,,,,,,0,1
1778260661696,2371,1778,2041,3028,3197,2995,,,,,,,0,1
1778260661753,2371,1778,2041,3028,3197,2995,,,,,,,0,1
1778260661814,2371,1778,2041,3028,3197,2995,,,,,,,0,1
1778260661876,2371,1779,2042,3028,3197,2995,,,,,,,0,1
1778260661938,2372,1784,2042,3028,3197,2995,,,,,,,0,1
1778260662017,2372,1791,2042,3028,3197,2995,,,,,,,0,1
1778260662076,2372,1797,2043,3028,3197,2995,,,,,,,0,1
1778260662141,2373,1806,2044,3028,3197,2995,,,,,,,0,1
1778260662198,2373,1812,2047,3028,3197,2995,,,,,,,0,1
1778260662260,2373,1819,2048,3028,3197,2995,,,,,,,0,1
1778260662320,2373,1825,2050,3028,3197,2995,,,,,,,0,1
1778260662384,2373,1833,2050,3028,3197,2995,,,,,,,0,1
1778260662442,2374,1840,2050,3028,3197,2995,,,,,,,0,1
1778260662502,2374,1848,2050,3028,3197,2995,,,,,,,0,1
1778260662564,2374,1856,2050,3028,3197,2995,,,,,,,0,1
1778260662625,2374,1861,2049,3028,3197,2995,,,,,,,0,1
1778260662685,2375,1866,2047,3028,3197,2995,,,,,,,0,1
1778260662750,2375,1873,2044,3028,3197,2995,,,,,,,0,1
1778260662813,2375,1880,2040,3028,3197,2995,,,,,,,0,1
1778260662871,2375,1887,2038,3028,3197,2995,,,,,,,0,1
1778260662934,2375,1895,2037,3028,3197,2995,,,,,,,0,1
1778260663009,2375,1905,2036,3028,3197,2995,,,,,,,0,1
1778260663081,2375,1913,2036,3028,3197,2995,,,,,,,0,1
1778260663140,2375,1920,2035,3028,3197,2995,,,,,,,0,1
1778260663200,2375,1928,2035,3028,3197,2995,,,,,,,0,1
1778260663261,2375,1935,2035,3028,3197,2995,,,,,,,0,1
1778260663322,2375,1942,2035,3028,3197,2995,,,,,,,0,1
1778260663381,2375,1949,2035,3028,3197,2995,,,,,,,0,1
1778260663440,2377,1956,2035,3028,3197,2995,,,,,,,0,1
1778260663495,2378,1961,2034,3028,3197,2995,,,,,,,0,1
1778260663551,2380,1969,2034,3028,3197,2995,,,,,,,0,1
1778260663610,2380,1976,2034,3028,3197,2995,,,,,,,0,1
1778260663669,2382,1983,2034,3028,3197,2995,,,,,,,0,1
1778260663730,2384,1990,2033,3028,3197,2995,,,,,,,0,1
1778260663790,2386,1997,2033,3028,3197,2995,,,,,,,0,1
1778260663851,2388,2002,2034,3022,3197,2995,,,,,,,0,1
1778260663913,2391,2006,2034,3018,3197,2995,,,,,,,0,1
1778260663970,2392,2009,2035,3016,3198,2995,,,,,,,0,1
