time_ms,base,shoulder,elbow,palm,wrist,gripper,obj_x,obj_y,obj_area,cell,err_x,err_y,approach_mode,free_mode
1778260695857,2457,1614,2281,2772,3205,2995,,,,,,,0,1
1778260695918,2458,1611,2287,2772,3205,2995,,,,,,,0,1
1778260695978,2459,1610,2288,2772,3205,2995,,,,,,,0,1
1778260696039,2459,1610,2289,2772,3205,2995,,,,,,,0,1
1778260696099,2460,1610,2289,2772,3205,2995,,,,,,,0,1
1778260696160,2460,1610,2289,2772,3205,2995,,,,,,,0,1
1778260696220,2461,1610,2289,2772,3205,2995,,,,,,,0,1
1778260696279,2461,1611,2289,2772,3205,2995,,,,,,,0,1
1778260696337,2461,1611,2290,2772,3205,2995,,,,,,,0,1
1778260696395,2462,1611,2290,2772,3205,2995,,,,,,,0,1
1778260696462,2462,1611,2290,2772,3205,2995,,,,,,,0,1
1778260696528,2462,1611,2290,2772,3205,2995,,,,,,,0,1
1778260696625,2462,1611,2290,2772,3205,2995,,,,,,,0,1
1778260696763,2462,1611,2290,2772,3205,2995,,,,,,,0,1
1778260696872,2462,1613,2290,2772,3205,2995,,,,,,,0,1
1778260697000,2463,1625,2293,2772,3205,2995,,,,,,,0,1
1778260697098,2463,1631,2300,2772,3205,2995,,,,,,,0,1
1778260697197,2463,1643,2309,2772,3205,2995,,,,,,,0,1
1778260697294,2461,1653,2317,2772,3205,2995,,,,,,,0,1
1778260697392,2459,1664,2324,2772,3205,2995,,,,,,,0,1
1778260697491,2458,1673,2329,2772,3205,2995,,,,,,,0,1
1778260697593,2457,1680,2334,2772,3205,2995,,,,,,,0,1
1778260697661,2457,1683,2337,2772,3205,2995,,,,,,,0,1
1778260697727,2457,1686,2338,2772,3205,2995,,,,,,,0,1
1778260697793,2457,1690,2339,2772,3205,2995,,,,,,,0,1
1778260697855,2457,1692,2338,2772,3205,2995,,,,,,,0,1
1778260697919,2457,1697,2338,2772,3205,2995,,,,,,,0,1
1778260697979,2457,1705,2337,2772,3205,2995,,,,,,,0,1
1778260698045,2457,1714,2327,2772,3205,2995,,,,,,,0,1
1778260698110,2457,1722,2326,2772,3205,2995,,,,,,,0,1
1778260698172,2457,1732,2323,2772,3205,2995,,,,,,,0,1
1778260698236,2457,1741,2321,2772,3205,2995,,,,,,,0,1
1778260698302,2457,1751,2316,2772,3205,2995,,,,,,,0,1
1778260698362,2457,1757,2313,2772,3205,2995,,,,,,,0,1
1778260698425,2457,1769,2307,2772,3205,2995,,,,,,,0,1
1778260698489,2457,1778,2304,2772,3205,2995,,,,,,,0,1
1778260698550,2457,1789,2298,2772,3205,2995,,,,,,,0,1
1778260698613,2457,1800,2295,2772,3205,2995,,,,,,,0,1
1778260698672,2457,1812,2289,2772,3205,2995,,,,,,,0,1
1778260698729,2457,1822,2285,2772,3205,2995,,,,,,,0,1
1778260698794,2457,1836,2278,2772,3205,2995,,,,,,,0,1
1778260698860,2457,1849,2272,2772,3205,2995,,,,,,,0,1
1778260698919,2457,1860,2267,2772,3205,2995,,,,,,,0,1
1778260698983,2457,1872,2261,2772,3205,2995,,,,,,,0,1
1778260699042,2460,1884,2257,2772,3205,2995,,,,,,,0,1
1778260699105,2463,1896,2254,2772,3205,2995,,,,,,,0,1
1778260699163,2463,1907,2254,2772,3205,2995,,,,,,,0,1
1778260699223,2464,1918,2254,2772,3205,2995,,,,,,,0,1
1778260699280,2465,1929,2254,2772,3205,2995,,,,,,,0,1
1778260699333,2467,1938,2256,2772,3205,2995,,,,,,,0,1
1778260699393,2468,1947,2264,2772,3205,2995,,,,,,,0,1
1778260699452,2468,1953,2266,2772,3205,2995,,,,,,,0,1
1778260699516,2468,1954,2269,2772,3205,2995,,,,,,,0,1
1778260699576,2468,1955,2271,2772,3205,2995,,,,,,,0,1
1778260699636,2469,1954,2281,2772,3205,2995,,,,,,,0,1
1778260699696,2468,1945,2291,2772,3205,2995,,,,,,,0,1
1778260699757,2468,1941,2302,2772,3205,2995,,,,,,,0,1
1778260699819,2468,1940,2313,2772,3205,2995,,,,,,,0,1
1778260699887,2468,1939,2326,2772,3205,2995,,,,,,,0,1
1778260699949,2468,1937,2335,2772,3205,2995,,,,,,,0,1
1778260700008,2467,1934,2345,2772,3205,2995,,,,,,,0,1
1778260700073,2467,1930,2353,2772,3205,2995,,,,,,,0,1
1778260700136,2467,1928,2360,2772,3205,2995,,,,,,,0,1
1778260700197,2467,1928,2365,2772,3205,2995,,,,,,,0,1
1778260700257,2467,1928,2368,2772,3205,2995,,,,,,,0,1
1778260700319,2469,1934,2368,2772,3205,2995,,,,,,,0,1
1778260700380,2469,1938,2360,2772,3205,2995,,,,,,,0,1
1778260700442,2471,1938,2352,2771,3205,2995,,,,,,,0,1
1778260700500,2472,1939,2348,2772,3205,2995,,,,,,,0,1
1778260700558,2473,1943,2335,2772,3205,2995,,,,,,,0,1
1778260700616,2469,1944,2327,2772,3205,2995,,,,,,,0,1
1778260700676,2467,1949,2313,2772,3205,2995,,,,,,,0,1
1778260700736,2467,1955,2305,2772,3205,2995,,,,,,,0,1
1778260700789,2469,1962,2296,2772,3205,2995,,,,,,,0,1
1778260700849,2466,1972,2288,2772,3205,2995,,,,,,,0,1
1778260700914,2464,1982,2279,2772,3205,2995,,,,,,,0,1
1778260700973,2464,1989,2274,2772,3205,2995,,,,,,,0,1
1778260701035,2464,2001,2269,2772,3205,2995,,,,,,,0,1
1778260701094,2464,2010,2268,2772,3205,2995,,,,,,,0,1
1778260701152,2464,2021,2265,2772,3205,2995,,,,,,,0,1
1778260701210,2464,2031,2265,2772,3205,2995,,,,,,,0,1
1778260701270,2464,2042,2262,2772,3205,2995,,,,,,,0,1
1778260701327,2464,2050,2261,2772,3205,2995,,,,,,,0,1
1778260701384,2464,2058,2257,2772,3205,2995,,,,,,,0,1
1778260701450,2465,2067,2254,2772,3205,2995,,,,,,,0,1
1778260701511,2465,2073,2252,2772,3205,2995,,,,,,,0,1
1778260701571,2465,2079,2250,2772,3205,2995,,,,,,,0,1
1778260701628,2466,2084,2248,2772,3205,2995,,,,,,,0,1
1778260701688,2468,2088,2246,2772,3205,2995,,,,,,,0,1
1778260701746,2470,2090,2246,2772,3205,2995,,,,,,,0,1
1778260701803,2472,2093,2246,2772,3205,2995,,,,,,,0,1
1778260701863,2475,2093,2246,2772,3205,2995,,,,,,,0,1
1778260701929,2479,2093,2246,2772,3205,2995,,,,,,,0,1
1778260701992,2485,2093,2246,2772,3205,2995,,,,,,,0,1
1778260702051,2489,2093,2246,2772,3205,2995,,,,,,,0,1
1778260702111,2492,2094,2246,2772,3205,2995,,,,,,,0,1
1778260702170,2490,2094,2246,2772,3205,2995,,,,,,,0,1
